datum,preis,id
2024-04-16,500.7449951171875,IE00B5BMR087
2024-04-17,497.3880004882813,IE00B5BMR087
2024-04-18,498.3590087890625,IE00B5BMR087
2024-04-19,492.7770080566406,IE00B5BMR087
2024-04-20,492.7770080566406,IE00B5BMR087
2024-04-21,492.7770080566406,IE00B5BMR087
2024-04-22,492.3550109863281,IE00B5BMR087
2024-04-23,497.8340148925781,IE00B5BMR087
2024-04-24,498.41400146484375,IE00B5BMR087
2024-04-25,491.8559875488281,IE00B5BMR087
2024-04-26,502.1489868164063,IE00B5BMR087
2024-04-27,502.1489868164063,IE00B5BMR087
2024-04-28,502.1489868164063,IE00B5BMR087
2024-04-29,501.72601318359375,IE00B5BMR087
2024-04-30,500.3460083007813,IE00B5BMR087
2024-05-01,500.3460083007813,IE00B5BMR087
2024-05-02,495.1119995117188,IE00B5BMR087
2024-05-03,499.8479919433594,IE00B5BMR087
2024-05-04,499.8479919433594,IE00B5BMR087
2024-05-05,499.8479919433594,IE00B5BMR087
2024-05-06,503.635009765625,IE00B5BMR087
2024-05-07,507.4440002441406,IE00B5BMR087
2024-05-08,507.8550109863281,IE00B5BMR087
2024-05-09,508.62799072265625,IE00B5BMR087
2024-05-10,510.18499755859375,IE00B5BMR087
2024-05-11,510.18499755859375,IE00B5BMR087
2024-05-12,510.18499755859375,IE00B5BMR087
2024-05-13,509.5480041503906,IE00B5BMR087
2024-05-14,508.7439880371094,IE00B5BMR087
2024-05-15,512.7589721679688,IE00B5BMR087
2024-05-16,515.6220092773438,IE00B5BMR087
2024-05-17,513.2000122070312,IE00B5BMR087
2024-05-18,513.2000122070312,IE00B5BMR087
2024-05-19,513.2000122070312,IE00B5BMR087
2024-05-20,516.6129760742188,IE00B5BMR087
2024-05-21,515.572021484375,IE00B5BMR087
2024-05-22,517.1810302734375,IE00B5BMR087
2024-05-23,517.5750122070312,IE00B5BMR087
2024-05-24,515.10400390625,IE00B5BMR087
2024-05-25,515.10400390625,IE00B5BMR087
2024-05-26,515.10400390625,IE00B5BMR087
2024-05-27,515.4769897460938,IE00B5BMR087
2024-05-28,514.1840209960938,IE00B5BMR087
2024-05-29,513.9299926757812,IE00B5BMR087
2024-05-30,510.60400390625,IE00B5BMR087
2024-05-31,505.7990112304688,IE00B5BMR087
2024-06-01,505.7990112304688,IE00B5BMR087
2024-06-02,505.7990112304688,IE00B5BMR087
2024-06-03,509.9320068359375,IE00B5BMR087
2024-06-04,509.89599609375,IE00B5BMR087
2024-06-05,516.8699951171875,IE00B5BMR087
2024-06-06,518.52197265625,IE00B5BMR087
2024-06-07,522.7949829101562,IE00B5BMR087
2024-06-08,522.7949829101562,IE00B5BMR087
2024-06-09,522.7949829101562,IE00B5BMR087
2024-06-10,525.1939697265625,IE00B5BMR087
2024-06-11,526.0659790039062,IE00B5BMR087
2024-06-12,528.406982421875,IE00B5BMR087
2024-06-13,531.0919799804688,IE00B5BMR087
2024-06-14,534.3569946289062,IE00B5BMR087
2024-06-15,534.3569946289062,IE00B5BMR087
2024-06-16,534.3569946289062,IE00B5BMR087
2024-06-17,535.2630004882812,IE00B5BMR087
2024-06-18,537.89599609375,IE00B5BMR087
2024-06-19,538.9310302734375,IE00B5BMR087
2024-06-20,540.9420166015625,IE00B5BMR087
2024-06-21,539.6799926757812,IE00B5BMR087
2024-06-22,539.6799926757812,IE00B5BMR087
2024-06-23,539.6799926757812,IE00B5BMR087
2024-06-24,539.1129760742188,IE00B5BMR087
2024-06-25,538.2880249023438,IE00B5BMR087
2024-06-26,539.1090087890625,IE00B5BMR087
2024-06-27,539.333984375,IE00B5BMR087
2024-06-28,541.6610107421875,IE00B5BMR087
2024-06-29,541.6610107421875,IE00B5BMR087
2024-06-30,541.6610107421875,IE00B5BMR087
2024-07-01,537.3720092773438,IE00B5BMR087
2024-07-02,538.697021484375,IE00B5BMR087
2024-07-03,539.2050170898438,IE00B5BMR087
2024-07-04,539.989990234375,IE00B5BMR087
2024-07-05,540.8259887695312,IE00B5BMR087
2024-07-06,540.8259887695312,IE00B5BMR087
2024-07-07,540.8259887695312,IE00B5BMR087
2024-07-08,542.6920166015625,IE00B5BMR087
2024-07-09,544.7069702148438,IE00B5BMR087
2024-07-10,545.4650268554688,IE00B5BMR087
2024-07-11,543.1069946289062,IE00B5BMR087
2024-07-12,545.3060302734375,IE00B5BMR087
2024-07-13,545.3060302734375,IE00B5BMR087
2024-07-14,545.3060302734375,IE00B5BMR087
2024-07-15,546.7440185546875,IE00B5BMR087
2024-07-16,547.72802734375,IE00B5BMR087
2024-07-17,541.0419921875,IE00B5BMR087
2024-07-18,537.8690185546875,IE00B5BMR087
2024-07-19,534.6669921875,IE00B5BMR087
2024-07-20,534.6669921875,IE00B5BMR087
2024-07-21,534.6669921875,IE00B5BMR087
2024-07-22,536.7440185546875,IE00B5BMR087
2024-07-23,542.8759765625,IE00B5BMR087
2024-07-24,531.6079711914062,IE00B5BMR087
2024-07-25,529.916015625,IE00B5BMR087
2024-07-26,529.8280029296875,IE00B5BMR087
2024-07-27,529.8280029296875,IE00B5BMR087
2024-07-28,529.8280029296875,IE00B5BMR087
2024-07-29,531.5479736328125,IE00B5BMR087
2024-07-30,531.02197265625,IE00B5BMR087
2024-07-31,539.2570190429688,IE00B5BMR087
2024-08-01,535.89501953125,IE00B5BMR087
2024-08-02,513.9749755859375,IE00B5BMR087
2024-08-03,513.9749755859375,IE00B5BMR087
2024-08-04,513.9749755859375,IE00B5BMR087
2024-08-05,502.35400390625,IE00B5BMR087
2024-08-06,507.9249877929688,IE00B5BMR087
2024-08-07,513.155029296875,IE00B5BMR087
2024-08-08,512.7130126953125,IE00B5BMR087
2024-08-09,515.1500244140625,IE00B5BMR087
2024-08-10,515.1500244140625,IE00B5BMR087
2024-08-11,515.1500244140625,IE00B5BMR087
2024-08-12,516.0650024414062,IE00B5BMR087
2024-08-13,520.8909912109375,IE00B5BMR087
2024-08-14,522.3280029296875,IE00B5BMR087
2024-08-15,531.5469970703125,IE00B5BMR087
2024-08-16,532.2239990234375,IE00B5BMR087
2024-08-17,532.2239990234375,IE00B5BMR087
2024-08-18,532.2239990234375,IE00B5BMR087
2024-08-19,532.697021484375,IE00B5BMR087
2024-08-20,532.2940063476562,IE00B5BMR087
2024-08-21,532.1430053710938,IE00B5BMR087
2024-08-22,532.9329833984375,IE00B5BMR087
2024-08-23,531.5919799804688,IE00B5BMR087
2024-08-24,531.5919799804688,IE00B5BMR087
2024-08-25,531.5919799804688,IE00B5BMR087
2024-08-26,531.4110107421875,IE00B5BMR087
2024-08-27,531.8159790039062,IE00B5BMR087
2024-08-28,531.2689819335938,IE00B5BMR087
2024-08-29,537.5289916992188,IE00B5BMR087
2024-08-30,534.9000244140625,IE00B5BMR087
2024-08-31,534.9000244140625,IE00B5BMR087
2024-09-01,534.9000244140625,IE00B5BMR087
2024-09-02,539.43701171875,IE00B5BMR087
2024-09-03,533.5460205078125,IE00B5BMR087
2024-09-04,527.3770141601562,IE00B5BMR087
2024-09-05,523.4349975585938,IE00B5BMR087
2024-09-06,516.968994140625,IE00B5BMR087
2024-09-07,516.968994140625,IE00B5BMR087
2024-09-08,516.968994140625,IE00B5BMR087
2024-09-09,522.572021484375,IE00B5BMR087
2024-09-10,525.3510131835938,IE00B5BMR087
2024-09-11,521.6929931640625,IE00B5BMR087
2024-09-12,532.697998046875,IE00B5BMR087
2024-09-13,536.8599853515625,IE00B5BMR087
2024-09-14,536.8599853515625,IE00B5BMR087
2024-09-15,536.8599853515625,IE00B5BMR087
2024-09-16,534.2210083007812,IE00B5BMR087
2024-09-17,537.9739990234375,IE00B5BMR087
2024-09-18,535.6389770507812,IE00B5BMR087
2024-09-19,542.27099609375,IE00B5BMR087
2024-09-20,539.9940185546875,IE00B5BMR087
2024-09-21,539.9940185546875,IE00B5BMR087
2024-09-22,539.9940185546875,IE00B5BMR087
2024-09-23,543.447998046875,IE00B5BMR087
2024-09-24,542.8569946289062,IE00B5BMR087
2024-09-25,543.2680053710938,IE00B5BMR087
2024-09-26,542.5650024414062,IE00B5BMR087
2024-09-27,544.8909912109375,IE00B5BMR087
2024-09-28,544.8909912109375,IE00B5BMR087
2024-09-29,544.8909912109375,IE00B5BMR087
2024-09-30,544.302978515625,IE00B5BMR087
2024-10-01,545.3569946289062,IE00B5BMR087
2024-10-02,547.7540283203125,IE00B5BMR087
2024-10-03,547.760009765625,IE00B5BMR087
2024-10-04,550.7449951171875,IE00B5BMR087
2024-10-05,550.7449951171875,IE00B5BMR087
2024-10-06,550.7449951171875,IE00B5BMR087
2024-10-07,553.0369873046875,IE00B5BMR087
2024-10-08,554.302001953125,IE00B5BMR087
2024-10-09,558.5889892578125,IE00B5BMR087
2024-10-10,560.2369995117188,IE00B5BMR087
2024-10-11,561.7440185546875,IE00B5BMR087
2024-10-12,561.7440185546875,IE00B5BMR087
2024-10-13,561.7440185546875,IE00B5BMR087
2024-10-14,567.2050170898438,IE00B5BMR087
2024-10-15,567.281982421875,IE00B5BMR087
2024-10-16,566.8389892578125,IE00B5BMR087
2024-10-17,572.5239868164062,IE00B5BMR087
2024-10-18,571.1740112304688,IE00B5BMR087
